Facility Name,City,State,ZIP Code,Payment Measure ID,Payment Measure Name,Payment Category,Payment,Value of Care Display ID,Value of Care Display Name,Value of Care Category,value_code
CLEVELAND CLINIC HOSPITAL,WESTON,FL,33331,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,19155,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
CLEVELAND CLINIC HOSPITAL,WESTON,FL,33331,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Less Than the National Average Payment,17987,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Better Complications and Lower Payment,KNEE
"VILLAGES REGIONAL HOSPITAL, THE",THE VILLAGES,FL,32159,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,24665,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
"VILLAGES REGIONAL HOSPITAL, THE",THE VILLAGES,FL,32159,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,19105,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Higher Payment,HF
"VILLAGES REGIONAL HOSPITAL, THE",THE VILLAGES,FL,32159,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,18709,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Worse Mortality and Average Payment,PN
"VILLAGES REGIONAL HOSPITAL, THE",THE VILLAGES,FL,32159,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,23172,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,KNEE
MELBOURNE REGIONAL MEDICAL CENTER,MELBOURNE,FL,32935,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,25526,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
MELBOURNE REGIONAL MEDICAL CENTER,MELBOURNE,FL,32935,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,20236,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Higher Payment,HF
MELBOURNE REGIONAL MEDICAL CENTER,MELBOURNE,FL,32935,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,21026,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,PN
MELBOURNE REGIONAL MEDICAL CENTER,MELBOURNE,FL,32935,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,23130,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,KNEE
SACRED HEART HOSPITAL ON THE EMERALD COAST,MIRAMAR BEACH,FL,32550,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,26686,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
SACRED HEART HOSPITAL ON THE EMERALD COAST,MIRAMAR BEACH,FL,32550,PAYM_30_HF,Payment for heart failure patients,Less Than the National Average Payment,15380,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Lower Payment,HF
SACRED HEART HOSPITAL ON THE EMERALD COAST,MIRAMAR BEACH,FL,32550,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,15598,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Lower Payment,PN
SACRED HEART HOSPITAL ON THE EMERALD COAST,MIRAMAR BEACH,FL,32550,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Less Than the National Average Payment,19474,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Lower Payment,KNEE
DOCTORS HOSPITAL,CORAL GABLES,FL,33146,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,18259,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
DOCTORS HOSPITAL,CORAL GABLES,FL,33146,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,17834,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Better Mortality and Average Payment,PN
DOCTORS HOSPITAL,CORAL GABLES,FL,33146,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,20361,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,KNEE
LAKEWOOD RANCH MEDICAL CENTER,BRADENTON,FL,34202,PAYM_30_AMI,Payment for heart attack patients,Less Than the National Average Payment,22716,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Lower Payment,AMI
LAKEWOOD RANCH MEDICAL CENTER,BRADENTON,FL,34202,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,18896,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
LAKEWOOD RANCH MEDICAL CENTER,BRADENTON,FL,34202,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,19710,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,PN
LAKEWOOD RANCH MEDICAL CENTER,BRADENTON,FL,34202,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Less Than the National Average Payment,19771,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Lower Payment,KNEE
ST CLOUD REGIONAL MEDICAL CENTER,SAINT CLOUD,FL,34769,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,26097,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
ST CLOUD REGIONAL MEDICAL CENTER,SAINT CLOUD,FL,34769,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17990,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
ST CLOUD REGIONAL MEDICAL CENTER,SAINT CLOUD,FL,34769,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,19501,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
ASCENSION ST VINCENT'S SOUTHSIDE,JACKSONVILLE,FL,32216,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,25607,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
ASCENSION ST VINCENT'S SOUTHSIDE,JACKSONVILLE,FL,32216,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17932,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
ASCENSION ST VINCENT'S SOUTHSIDE,JACKSONVILLE,FL,32216,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,18311,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
ASCENSION ST VINCENT'S SOUTHSIDE,JACKSONVILLE,FL,32216,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Less Than the National Average Payment,18554,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Lower Payment,KNEE
ASCENSION SACRED HEART GULF,PORT SAINT JOE,FL,32456,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17166,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
ASCENSION SACRED HEART GULF,PORT SAINT JOE,FL,32456,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,17846,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
WEST KENDALL BAPTIST HOSPITAL,MIAMI,FL,33196,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17653,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
WEST KENDALL BAPTIST HOSPITAL,MIAMI,FL,33196,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,16302,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Better Mortality and Lower Payment,PN
VIERA HOSPITAL,MELBOURNE,FL,32940,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,27219,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
VIERA HOSPITAL,MELBOURNE,FL,32940,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,18792,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
VIERA HOSPITAL,MELBOURNE,FL,32940,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,18459,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
VIERA HOSPITAL,MELBOURNE,FL,32940,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Less Than the National Average Payment,17973,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Lower Payment,KNEE
PALM BAY HOSPITAL,PALM BAY,FL,32907,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,27268,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
PALM BAY HOSPITAL,PALM BAY,FL,32907,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17951,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
PALM BAY HOSPITAL,PALM BAY,FL,32907,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,18891,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
PALM BAY HOSPITAL,PALM BAY,FL,32907,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,20574,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,KNEE
ADVENTHEALTH WESLEY CHAPEL,WESLEY CHAPEL,FL,33544,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,26031,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
ADVENTHEALTH WESLEY CHAPEL,WESLEY CHAPEL,FL,33544,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,19327,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Higher Payment,HF
ADVENTHEALTH WESLEY CHAPEL,WESLEY CHAPEL,FL,33544,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,18637,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
ADVENTHEALTH WESLEY CHAPEL,WESLEY CHAPEL,FL,33544,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Less Than the National Average Payment,19456,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Lower Payment,KNEE
POINCIANA MEDICAL CENTER,KISSIMMEE,FL,34758,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,24900,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
POINCIANA MEDICAL CENTER,KISSIMMEE,FL,34758,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,18165,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
POINCIANA MEDICAL CENTER,KISSIMMEE,FL,34758,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,17533,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
ASCENSION ST VINCENT'S CLAY COUNTY,MIDDLEBURG,FL,32068,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,26356,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
ASCENSION ST VINCENT'S CLAY COUNTY,MIDDLEBURG,FL,32068,PAYM_30_HF,Payment for heart failure patients,Less Than the National Average Payment,16183,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Lower Payment,HF
ASCENSION ST VINCENT'S CLAY COUNTY,MIDDLEBURG,FL,32068,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,17056,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Lower Payment,PN
ASCENSION ST VINCENT'S CLAY COUNTY,MIDDLEBURG,FL,32068,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Less Than the National Average Payment,20052,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Lower Payment,KNEE
OVIEDO MEDICAL CENTER,OVIEDO,FL,32765,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,26845,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
OVIEDO MEDICAL CENTER,OVIEDO,FL,32765,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,21057,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Higher Payment,HF
OVIEDO MEDICAL CENTER,OVIEDO,FL,32765,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,19649,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
ADVENTHEALTH WAUCHULA,WAUCHULA,FL,33873,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17333,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
ADVENTHEALTH WAUCHULA,WAUCHULA,FL,33873,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,15830,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Lower Payment,PN
CALHOUN-LIBERTY HOSPITAL,BLOUNTSTOWN,FL,32424,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,19272,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
CALHOUN-LIBERTY HOSPITAL,BLOUNTSTOWN,FL,32424,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,19832,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
DOCTORS MEMORIAL HOSPITAL,BONIFAY,FL,32425,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,20285,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
NORTHWEST FLORIDA COMMUNITY HOSPITAL,CHIPLEY,FL,32428,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17777,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
NORTHWEST FLORIDA COMMUNITY HOSPITAL,CHIPLEY,FL,32428,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,18452,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
HENDRY REGIONAL MEDICAL CENTER,CLEWISTON,FL,33440,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,18612,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
HENDRY REGIONAL MEDICAL CENTER,CLEWISTON,FL,33440,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,20491,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
MADISON COUNTY MEMORIAL HOSPITAL,MADISON,FL,32340,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,19492,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
MADISON COUNTY MEMORIAL HOSPITAL,MADISON,FL,32340,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,18921,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
MARINERS HOSPITAL,TAVERNIER,FL,33070,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,18068,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
MARINERS HOSPITAL,TAVERNIER,FL,33070,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,15222,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Lower Payment,PN
HAMILTON MEDICAL CENTER,DALTON,GA,30720,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,24584,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
HAMILTON MEDICAL CENTER,DALTON,GA,30720,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17205,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
HAMILTON MEDICAL CENTER,DALTON,GA,30720,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,15837,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Lower Payment,PN
HAMILTON MEDICAL CENTER,DALTON,GA,30720,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Less Than the National Average Payment,19185,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Lower Payment,KNEE
UPSON REGIONAL MEDICAL CENTER,THOMASTON,GA,30286,PAYM_30_HF,Payment for heart failure patients,Less Than the National Average Payment,14604,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Lower Payment,HF
UPSON REGIONAL MEDICAL CENTER,THOMASTON,GA,30286,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,15778,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Worse Mortality and Lower Payment,PN
MAYO CLINIC HEALTH SYSTEM IN WAYCROSS,WAYCROSS,GA,31501,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,25030,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
MAYO CLINIC HEALTH SYSTEM IN WAYCROSS,WAYCROSS,GA,31501,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,18433,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
MAYO CLINIC HEALTH SYSTEM IN WAYCROSS,WAYCROSS,GA,31501,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,19081,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
MAYO CLINIC HEALTH SYSTEM IN WAYCROSS,WAYCROSS,GA,31501,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,23297,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,KNEE
NORTHSIDE HOSPITAL FORSYTH,CUMMING,GA,30041,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,25867,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
NORTHSIDE HOSPITAL FORSYTH,CUMMING,GA,30041,PAYM_30_HF,Payment for heart failure patients,Less Than the National Average Payment,15944,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Lower Payment,HF
NORTHSIDE HOSPITAL FORSYTH,CUMMING,GA,30041,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,17478,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Lower Payment,PN
NORTHSIDE HOSPITAL FORSYTH,CUMMING,GA,30041,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Less Than the National Average Payment,17181,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Better Complications and Lower Payment,KNEE
ST MARY'S HOSPITAL,ATHENS,GA,30606,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,24740,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
ST MARY'S HOSPITAL,ATHENS,GA,30606,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,16382,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Worse Mortality and Average Payment,HF
ST MARY'S HOSPITAL,ATHENS,GA,30606,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,17731,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
ST MARY'S HOSPITAL,ATHENS,GA,30606,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Less Than the National Average Payment,19299,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Lower Payment,KNEE
PHOEBE PUTNEY MEMORIAL HOSPITAL,ALBANY,GA,31703,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,27453,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
PHOEBE PUTNEY MEMORIAL HOSPITAL,ALBANY,GA,31703,PAYM_30_HF,Payment for heart failure patients,Less Than the National Average Payment,16501,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Lower Payment,HF
PHOEBE PUTNEY MEMORIAL HOSPITAL,ALBANY,GA,31703,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,17226,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Lower Payment,PN
PHOEBE PUTNEY MEMORIAL HOSPITAL,ALBANY,GA,31703,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,21183,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,KNEE
NORTHSIDE HOSPITAL CHEROKEE,CANTON,GA,30115,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,24749,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
NORTHSIDE HOSPITAL CHEROKEE,CANTON,GA,30115,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17096,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
NORTHSIDE HOSPITAL CHEROKEE,CANTON,GA,30115,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,18135,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
NORTHSIDE HOSPITAL CHEROKEE,CANTON,GA,30115,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Less Than the National Average Payment,18696,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Lower Payment,KNEE
EMORY UNIVERSITY HOSPITAL,ATLANTA,GA,30322,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,25105,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
EMORY UNIVERSITY HOSPITAL,ATLANTA,GA,30322,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17280,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
EMORY UNIVERSITY HOSPITAL,ATLANTA,GA,30322,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,18696,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
EMORY UNIVERSITY HOSPITAL,ATLANTA,GA,30322,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Less Than the National Average Payment,18030,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Lower Payment,KNEE
TANNER MEDICAL CENTER - CARROLLTON,CARROLLTON,GA,30117,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,24833,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
TANNER MEDICAL CENTER - CARROLLTON,CARROLLTON,GA,30117,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17315,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
TANNER MEDICAL CENTER - CARROLLTON,CARROLLTON,GA,30117,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,17884,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Worse Mortality and Average Payment,PN
TANNER MEDICAL CENTER - CARROLLTON,CARROLLTON,GA,30117,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,20865,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,KNEE
TANNER MEDICAL CENTER VILLA RICA,VILLA RICA,GA,30180,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,25160,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
TANNER MEDICAL CENTER VILLA RICA,VILLA RICA,GA,30180,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17203,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
TANNER MEDICAL CENTER VILLA RICA,VILLA RICA,GA,30180,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,17635,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
WELLSTAR WEST GEORGIA MEDICAL CENTER,LAGRANGE,GA,30240,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,24615,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
WELLSTAR WEST GEORGIA MEDICAL CENTER,LAGRANGE,GA,30240,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17566,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
WELLSTAR WEST GEORGIA MEDICAL CENTER,LAGRANGE,GA,30240,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,19094,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
WELLSTAR WEST GEORGIA MEDICAL CENTER,LAGRANGE,GA,30240,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,22572,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,KNEE
PIEDMONT NEWTON HOSPITAL,COVINGTON,GA,30014,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,26615,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
PIEDMONT NEWTON HOSPITAL,COVINGTON,GA,30014,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,18305,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
PIEDMONT NEWTON HOSPITAL,COVINGTON,GA,30014,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,18049,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
PIEDMONT NEWTON HOSPITAL,COVINGTON,GA,30014,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,27119,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,KNEE
ADVENTHEALTH GORDON,CALHOUN,GA,30701,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,24870,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
ADVENTHEALTH GORDON,CALHOUN,GA,30701,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,16859,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
ADVENTHEALTH GORDON,CALHOUN,GA,30701,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,17296,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
